transakcja_id,produkt,ilość,cena,klient_id
610,A,2,120,125
611,A,9,120,568
612,E,2,300,923
613,E,8,300,65
614,A,9,120,818
615,C,9,80,430
616,E,9,300,661
617,C,2,80,893
618,A,4,120,422
619,E,7,300,62
620,B,2,200,713
621,A,1,120,670
622,D,3,150,256
623,C,4,80,16
624,A,8,120,360
625,A,6,120,534
626,E,2,300,711
627,E,9,300,962
628,E,2,300,737
629,D,5,150,403
630,E,4,300,469
631,A,7,120,569
632,E,8,300,916
633,B,5,200,69
634,E,5,300,909
635,D,2,150,394
636,B,8,200,86
637,A,2,120,771
638,A,6,120,979
639,C,8,80,960
640,B,6,200,360
641,C,4,80,190
642,B,4,200,285
643,B,6,200,282
644,D,4,150,409
645,C,8,80,513
646,D,9,150,593
647,B,1,200,539
648,A,4,120,829
649,B,4,200,697
650,D,2,150,398
651,C,6,80,255
652,C,3,80,713
653,D,7,150,317
654,C,5,80,49
655,E,4,300,138
656,A,5,120,153
657,A,8,120,747
658,A,3,120,982
659,C,7,80,42
660,C,6,80,305
661,B,1,200,769
662,B,7,200,167
663,A,7,120,227
664,E,1,300,13
665,B,9,200,554
666,B,6,200,142
667,C,2,80,345
668,E,5,300,276
669,A,4,120,145
670,B,7,200,914
671,E,8,300,858
672,E,1,300,613
673,A,5,120,734
674,E,3,300,230
675,E,1,300,544
676,E,3,300,550
677,B,6,200,215
678,A,7,120,458
679,E,8,300,375
680,E,4,300,76
681,B,3,200,498
682,A,5,120,682
683,C,9,80,715
684,B,6,200,148
685,A,9,120,715
686,E,6,300,574
687,A,2,120,4
688,A,5,120,261
689,A,9,120,314
690,C,8,80,302
691,A,7,120,686
692,C,1,80,632
693,E,4,300,340
694,C,7,80,954
695,E,7,300,106
696,E,6,300,725
697,C,8,80,395
698,B,6,200,419
699,D,3,150,459
700,A,4,120,468
701,D,3,150,481
702,A,1,120,562
703,A,5,120,452
704,E,1,300,960
705,A,1,120,983
706,A,2,120,749
707,C,4,80,461
708,D,6,150,357
709,C,8,80,479
710,A,3,120,494
711,E,1,300,829
712,C,3,80,405
713,C,3,80,196
714,B,5,200,402
715,A,4,120,993
716,E,4,300,19
717,C,9,80,830
718,C,7,80,98
719,E,4,300,92
720,A,3,120,269
721,B,6,200,85
722,C,3,80,835
723,B,6,200,540
724,D,9,150,315
725,A,6,120,364
726,D,4,150,542
727,D,5,150,72
728,D,6,150,843
729,A,3,120,268
730,A,8,120,487
731,E,4,300,885
732,B,8,200,16
733,B,3,200,594
734,E,7,300,873
735,E,9,300,646
736,D,4,150,260
737,E,8,300,944
738,C,3,80,650
739,B,7,200,523
740,E,3,300,404
741,C,7,80,197
742,C,6,80,28
743,C,2,80,376
744,C,3,80,811
745,D,6,150,468
746,C,4,80,664
747,D,6,150,708
748,D,1,150,961
749,C,1,80,810
750,B,3,200,168
751,C,8,80,644
752,C,8,80,73
753,C,4,80,550
754,B,6,200,557
755,A,8,120,941
756,A,7,120,501
757,D,7,150,58
758,D,4,150,944
759,B,9,200,435
760,E,6,300,628
761,A,3,120,311
762,D,5,150,546
763,A,5,120,70
764,B,5,200,327
765,B,8,200,579
766,E,9,300,343
767,E,9,300,96
768,B,6,200,93
769,D,6,150,673
770,A,9,120,954
771,C,4,80,438
772,E,6,300,750
773,C,4,80,500
774,D,1,150,386
775,E,7,300,828
776,C,6,80,86
777,D,9,150,400
778,A,7,120,189
779,D,7,150,198
780,E,2,300,265
781,B,9,200,770
782,A,9,120,498
783,C,6,80,85
784,E,3,300,740
785,B,1,200,943
786,D,4,150,282
787,B,3,200,609
788,E,1,300,350
789,E,3,300,914
790,B,4,200,257
791,D,8,150,115
792,B,9,200,336
793,E,3,300,860
794,E,6,300,333
795,C,5,80,958
796,C,6,80,397
797,A,4,120,804
798,E,6,300,803
799,C,7,80,173
800,B,9,200,28
801,D,7,150,896
802,B,6,200,826
803,D,1,150,370
804,C,2,80,587
805,A,1,120,775
806,B,9,200,265
807,B,9,200,817
808,B,7,200,903
809,D,2,150,424
810,C,6,80,551
811,B,4,200,307
812,B,1,200,921
813,A,1,120,716
814,A,5,120,418
815,C,2,80,432
816,C,4,80,204
817,E,1,300,74
818,A,4,120,141
819,E,6,300,774
820,D,4,150,379
821,E,1,300,478
822,B,7,200,912
823,E,2,300,329
824,C,9,80,941
825,D,3,150,620
826,B,8,200,48
827,E,8,300,495
828,D,3,150,455
829,D,4,150,788
830,B,2,200,730
831,E,4,300,177
832,D,9,150,444
833,D,2,150,738
834,A,3,120,918
835,D,4,150,375
836,A,5,120,610
837,E,1,300,990
838,E,7,300,901
839,E,7,300,541
840,C,9,80,33
841,E,4,300,801
842,D,6,150,385
843,B,2,200,799
844,A,4,120,442
845,C,2,80,268
846,E,5,300,670
847,E,7,300,636
848,B,1,200,594
849,B,7,200,994
850,C,6,80,128
851,A,6,120,616
852,E,8,300,247
853,C,8,80,446
854,D,6,150,980
855,D,3,150,696
856,C,5,80,96
857,E,2,300,915
858,C,5,80,43
859,E,9,300,391
860,B,1,200,89
861,C,5,80,706
862,E,6,300,954
863,C,7,80,145
864,C,9,80,764
865,E,6,300,646
866,E,5,300,957
867,A,7,120,633
868,C,1,80,462
869,D,5,150,668
870,C,2,80,414
871,C,4,80,507
872,E,7,300,594
873,C,5,80,226
874,C,6,80,286
875,D,2,150,986
876,E,3,300,893
877,C,7,80,438
878,B,2,200,876
879,A,6,120,828
880,D,5,150,36
881,C,1,80,865
882,B,4,200,980
883,C,2,80,809
884,C,4,80,732
885,E,1,300,228
886,E,2,300,129
887,E,8,300,451
888,B,6,200,908
889,C,2,80,980
890,A,6,120,628
891,D,9,150,523
892,E,7,300,758
893,E,9,300,704
894,C,5,80,216
895,C,7,80,432
896,B,7,200,257
897,B,3,200,618
898,E,7,300,310
899,C,1,80,714
900,A,9,120,388
901,D,6,150,694
902,C,5,80,3
903,C,7,80,245
904,B,5,200,838
905,D,5,150,583
906,E,7,300,75
907,C,7,80,762
908,E,3,300,122
909,C,3,80,594
910,E,3,300,736
911,D,6,150,209
912,B,6,200,210
913,D,3,150,837
914,A,3,120,153
915,B,8,200,16
916,D,8,150,930
917,A,7,120,26
918,C,4,80,774
919,C,4,80,937
920,E,3,300,105
921,B,5,200,977
922,C,3,80,949
923,B,8,200,711
924,C,7,80,463
925,E,3,300,941
926,D,9,150,403
927,E,5,300,425
928,A,9,120,594
929,C,7,80,72
930,A,7,120,854
931,A,6,120,398
932,B,2,200,548
933,C,9,80,268
934,A,6,120,178
935,D,8,150,240
936,A,1,120,473
937,D,5,150,922
938,B,1,200,974
939,A,8,120,612
940,E,8,300,874
941,B,1,200,421
942,D,9,150,384
943,B,2,200,139
944,A,9,120,328
945,C,1,80,293
946,C,9,80,513
947,D,4,150,765
948,D,9,150,749
949,C,7,80,995
950,D,6,150,658
951,B,5,200,185
952,E,9,300,892
953,E,2,300,995
954,B,2,200,158
955,E,9,300,778
956,A,3,120,78
957,B,8,200,897
958,D,9,150,503
959,B,8,200,896
960,C,4,80,551
961,D,1,150,868
962,C,4,80,866
963,D,9,150,763
964,E,2,300,659
965,B,3,200,433
966,A,8,120,999
967,D,6,150,792
968,D,8,150,245
969,C,7,80,467
970,E,5,300,511
971,C,9,80,852
972,C,4,80,177
973,E,6,300,321
974,A,2,120,873
975,C,2,80,522
976,C,2,80,200
977,D,7,150,762
978,E,2,300,965
979,B,2,200,957
980,A,9,120,589
981,A,7,120,285
982,E,3,300,458
983,D,3,150,985
984,D,7,150,19
985,E,5,300,948
986,D,6,150,30
987,A,8,120,121
988,A,9,120,922
989,B,1,200,466
990,E,3,300,162
991,C,7,80,72
992,C,6,80,975
993,B,7,200,464
994,B,8,200,74
995,D,6,150,558
996,B,3,200,753
997,B,2,200,344
998,C,7,80,81
999,D,1,150,453
1000,B,3,200,903
